Category;Value
A;290630.45817815856
A;653204.9705069143
C;213734.90097789338
A;263227.763082066
B;339747.4715853461
A;506249.3842977175
C;429920.3802797071
D;979974.1173216997
B;805175.1385536863
C;101765.42035126456
A;188748.92448362624
B;441823.17245428
B;932526.8929413484
C;900215.1545151892
C;400822.124338829
B;897960.7912333327
D;826913.2556121293
D;634436.6455086112
B;568769.7342837234
D;717106.0539638066
A;517929.6276387588
C;596156.4589243808
C;221450.96615090544
B;598141.1781389583
B;682901.0405663608
A;488936.7736589462
B;258125.138993542
B;81005.03799020693
D;956714.4067128854
A;29754.190392596684
D;577973.4320951945
A;250223.37242214306
B;18533.94408498273
D;75335.83404060664
D;596266.0670795151
D;6759.200896640592
D;482781.9170575935
A;119537.67599752564
A;510862.1035935906
C;521119.7148869082
C;790794.4394239393
D;955364.5212993739
D;665687.8345115641
C;930080.7357100713
D;756131.8355240906
B;128233.914497187
B;355454.4991040846
C;693039.7644347126
C;987068.2763158822
A;882151.8223665153
D;384684.30261774844
C;742373.1591032078
B;518225.3893966754
C;504857.17783480405
A;83722.26414482194
C;456184.2404247088
D;530516.8217639986
B;16490.032936562377
B;759572.2850883451
A;416960.4045144723
B;690276.8144723665
C;51550.97959955441
D;707032.1047854497
D;62302.70842766415
D;323498.8443254675
B;32231.816081219484
C;884683.8686760528
D;393224.93571573007
B;431791.9630402052
A;330441.2363267223
C;939073.5770298803
C;552275.9263622414
A;252219.12389358252
A;579506.8389721091
C;156371.61714091696
C;531597.5796720597
D;807109.2192391357
A;664971.7051481528
D;953252.7633875564
C;124910.94976292807
C;957005.4500156404
B;918754.010645651
A;570416.7769644986
B;960360.1985891946
B;961601.5728449152
B;514144.9422367597
A;404345.0489216429
C;281519.2881203581
C;434463.788115408
A;906869.9666760744
A;774028.414064605
B;826221.160496927
B;578755.7448937154
B;546880.7627873189
D;758452.7464411404
B;315039.4674755919
A;339656.2641242597
A;309424.805639418
C;381413.62674511777
B;981552.096315888
A;844563.0293223319
B;110983.20784596707
A;243284.32896255638
D;851186.9227732182
A;703347.854406449
B;474587.173044109
B;865606.1296892298
A;979302.9795212288
A;403788.74547544523
A;711179.5854692351
B;302187.87636535853
B;474870.5502997953
A;442570.55782495136
A;867419.7594403661
A;923824.4904588347
B;237472.9938304859
C;303123.19085537095
D;77283.15936812783
D;536900.6218057091
D;836910.7051678767
C;712660.224702671
A;794608.5704158538
D;590651.1744817627
C;595059.9022831231
B;944391.9062980758
A;917524.7430199317
D;673771.5433787694
D;587173.3215375722
C;138021.2393507246
D;544536.2053256326
A;581588.2350320109
D;201984.42856354272
A;43508.14535127742
A;560696.4203432541
B;278391.7838670297
B;654412.922127032
D;735851.4050722255
C;60005.8269145316
A;102019.08036256529
D;371022.38056208764
A;601178.2280585285
D;552090.5005281438
D;851830.7176354857
D;514983.6047996952
C;692377.2519737498
B;248082.60405897253
A;80022.14658090146
B;276299.3130033609
D;837636.103834546
D;909960.2672187779
B;835872.3476542531
C;604642.1982051819
D;522542.00639678835
C;984187.9730292097
D;494394.1513000408
C;342574.7270507708
A;982601.4851873905
A;775625.349796586
A;151560.44562222325
B;246900.88495966978
B;375149.85891776846
D;986240.3814600202
A;209642.53060238017
A;548096.9098889568
B;434637.2239699906
C;356235.3299502303
D;647663.0016586729
B;530323.4063495013
C;16806.859882478406
B;728006.7303780933
B;123659.29613813988
A;312165.07470013585
A;690619.1680887664
A;205301.6719471117
A;81589.25783839717
C;409286.7592407372
D;19719.27667366171
D;443959.17495027574
A;946210.5608520599
A;16025.663828594306
B;329885.1805041599
A;730474.4904236741
A;960894.97258039
A;295744.2782107972
D;582290.4558644475
B;421060.628908771
C;741038.9733543599
A;233176.44063715442
B;525749.5364780058
B;221291.81130192164
C;719529.9544961449
D;526792.157543316
D;302205.6612442332
D;392940.0820095717
D;582403.2978662184
C;796163.552502327
A;842213.1969699005
B;718633.4855227572
C;617136.7919437448
C;78917.75639940707
A;286167.5483173565
D;762727.7239061358
B;172978.35852483465
A;591010.6499250212
A;249393.30127719996
A;121804.29019790284
B;320276.029765619
C;150998.54947595365
D;20929.50128365468
B;792003.457964772
A;157027.8618808285
D;416805.6032167895
A;45079.95498449424
D;250577.41981254666
A;394234.7903767439
C;307195.9647943526
D;10116.775134981033
B;235371.30344114164
D;19925.68532097988
C;306079.31255186227
A;761584.8862979212
D;884693.7736208406
A;501168.9236561509
C;508648.0895819441
C;97133.6674136302
A;94355.54937967761
C;578625.6668145618
C;882590.1850189231
C;179501.66335763648
C;917153.951261778
B;552971.4038944328
C;839657.331992029
A;454710.73752004036
C;463751.02016179723
B;22771.39763081649
D;261032.9897961186
D;852881.8858401923
A;589614.0203782712
C;112662.72478208678
C;749178.6427624505
D;316999.6583086407
A;687125.2588865538
C;555004.9791770295
D;689844.277093245
D;843683.6009420481
C;987405.9482821912
D;677361.5583169243
C;826077.1400226807
C;244507.5713347579
A;339835.85800889105
B;566296.6278714759
D;238603.29724327254
D;587515.6213823617
B;507733.29600408336
C;355254.0619958304
B;790596.332932381
A;502479.4476978568
B;348342.61534119374
A;389678.90106361645
A;230135.87985755806
C;183420.45408938883
D;389587.37363907153
D;763773.222577018
C;256415.40079482066
A;16278.043506197992
D;513980.1197526633
D;339739.820834835
A;444993.4785071052
D;492189.58681797166
C;644689.2985992451
B;566720.5883333504
B;864535.0207693095
B;40409.01059103873
C;101294.93470124732
A;728447.0766394078
C;79557.01937151203
A;815400.0216463595
C;184655.7656973609
C;721316.5976686304
A;823364.1201549964
A;967402.2684264339
A;585169.9075200866
B;293173.20210010174
C;257698.89574457696
B;442327.56947178673
D;382181.44833616994
C;541658.8631519802
A;417427.6476669885
C;809792.9736780316
D;80520.86629168963
D;593856.8932398487
C;614627.5974333949
A;485380.247491682
A;818205.7116457279
A;847973.9184517759
A;623230.7513034353
D;636802.0277179042
A;622891.5978522846
D;156694.59823261335
D;724389.5978578082
B;567614.7898530458
D;214682.91122239517
D;168459.37572337757
C;200695.75789210695
D;506111.14926001173
C;10634.428178209542
C;187010.45846629943
C;448365.3229395561
D;224327.67955270875
A;2063.863424647068
B;99095.48475289442
C;918523.2995834295
C;163345.8238459475
C;676545.8157686335
B;934854.5423026154
D;284141.7749670191
C;542687.6997354275
C;224288.58375090847
C;410232.95722129685
C;263647.2835937573
A;143530.69556649379
C;984898.8349065876
B;488678.7508360381
A;48544.657001801366
B;470903.95287654485
A;108589.4503789148
B;840445.95822074
C;487447.06690720737
A;875283.7449880362
C;66872.58154187769
B;573104.7017739188
A;176760.43719728192
C;599847.4812133929
B;563816.2307102431
D;854292.4460415907
B;736353.6695001654
A;275628.3329907697
C;702895.7377897019
B;268150.15016720776
C;215790.61017541148
A;936596.8296104451
A;822237.3313193946
B;116916.79874043108
A;368559.5328498364
C;124715.40555145874
C;896881.1089826507
D;507028.2263215533
B;155883.47740070513
D;299926.4561453455
D;352267.9990869241
B;683472.2152431937
D;295667.161333868
B;719722.5288743244
D;45615.099822024604
A;279411.80213772214
B;21508.79963025323
B;496730.40246211883
D;989112.2391884013
D;483720.59426812694
D;553518.9231166986
B;533065.7502590073
A;589470.6065249974
D;401316.55099110666
A;708629.7915851595
A;857085.8841450973
D;824683.7943681802
B;104706.29508555238
A;584713.5741620928
D;757933.031081648
A;701432.9118222231
C;868116.1513471437
C;316240.8719742735
C;147535.14605868273
C;547670.1780265301
B;619385.8800403955
D;547150.7792048901
C;158661.5901346093
D;120066.75324291772
B;202060.01685404437
C;245936.8824027991
C;977793.8912732953
A;708702.7268962982
B;50711.563454113166
B;202140.19355866825
D;520892.91958234174
C;344635.9034949685
D;491051.80154728214
B;60759.86076135144
A;105640.55448249052
D;107078.89551334499
B;830466.1875506685
B;604093.9482936288
C;133336.6679122
B;370182.5981785293
B;938047.8858808618
D;636701.7620068867
B;872270.3512280415
A;128652.3171554883
D;510044.7517049005
D;637928.8010387521
B;838956.9598703573
B;562333.3166140595
D;873348.9223906181
B;392602.24785177526
A;652468.7252653616
A;986159.5278979025
A;445586.13240511075
C;622902.2913289494
A;96218.55463658976
A;715041.3298634224
B;340674.1349346801
D;320812.51424579305
B;514483.33270756784
C;526691.6206444189
D;480179.0687760113
C;387984.84397991025
B;844379.9978608199
B;142496.5287024849
